🇨🇳央视频道,#genre#

cctv1,http://127.0.0.1:35455/tptv/G_CCTV-1-AVS-4K264.m3u8
cctv1,http://127.0.0.1:35455/ysptp/cctv1.m3u8
cctv1,http://127.0.0.1:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
cctv1,http://127.0.0.1:35455/itv/5000000004000002226.m3u8?cdn=bestzb
cctv1,http://127.0.0.1:35455/itv/1000000005000265001.m3u8?cdn=ystenlive

cctv2,http://127.0.0.1:35455/tptv/G_CCTV-2-HD-265-8M.m3u8
cctv2,http://127.0.0.1:35455/ysptp/cctv2.m3u8
cctv2,http://127.0.0.1:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv2,http://127.0.0.1:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
cctv2,http://127.0.0.1:35455/itv/1000000001000023315.m3u8?cdn=ystenlive

cctv3,http://127.0.0.1:35455/tptv/G_CCTV-3-AVS-4K264.m3u8
cctv3,http://127.0.0.1:35455/ysptp/cctv3.m3u8
cctv3,http://127.0.0.1:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
cctv3,http://127.0.0.1:35455/itv/1000000005000265003.m3u8?cdn=ystenlive

cctv4,http://127.0.0.1:35455/tptv/G_CCTV-4-HD-265-8M.m3u8
cctv4,http://127.0.0.1:35455/ysptp/cctv4.m3u8
cctv4,http://127.0.0.1:35455/itv/5000000011000031102.m3u8?cdn=bestzb
cctv4,http://127.0.0.1:35455/itv/1000000005000265004.m3u8?cdn=ystenlive

cctv5,http://127.0.0.1:35455/tptv/G_CCTV-5-AVS-4K264.m3u8
cctv5,http://127.0.0.1:35455/ysptp/cctv5.m3u8
cctv5,http://127.0.0.1:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
cctv5,http://127.0.0.1:35455/itv/1000000005000265005.m3u8?cdn=ystenlive

cctv5+,http://127.0.0.1:35455/tptv/G_CCTV-5PLUS-HD-265-8M.m3u8
cctv5+,http://127.0.0.1:35455/ysptp/cctv5p.m3u8
cctv5+,http://127.0.0.1:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
cctv5+,http://127.0.0.1:35455/itv/1000000005000265016.m3u8?cdn=ystenlive

cctv6,http://127.0.0.1:35455/tptv/G_CCTV-6-AVS-4K264.m3u8
